country,continent,surfacearea,population,lifeexpectancy,income
Aruba,North America,193.00,103000,78.4,8.038834
Afghanistan,Asia,652090.00,22720000,45.9,0.263028
Angola,Africa,1246700.00,12878000,38.3,0.516229
Anguilla,North America,96.00,8000,76.1,7.900000
Albania,Europe,28748.00,3401200,71.6,0.942314
Andorra,Europe,468.00,78000,83.5,20.897435
Netherlands Antilles,North America,800.00,217000,74.7,8.944700
United Arab Emirates,Asia,83600.00,2441000,74.1,15.553461
Argentina,South America,2780400.00,37032000,75.1,9.187675
Armenia,Asia,29800.00,3520000,66.4,0.515056
American Samoa,Oceania,199.00,68000,75.1,4.911764
Antigua and Barbuda,North America,442.00,68000,70.5,9.000000
Australia,Oceania,7741220.00,18886000,79.8,18.594832
Austria,Europe,83859.00,8091800,77.7,26.182060
Azerbaijan,Asia,86600.00,7734000,62.9,0.533617
Burundi,Africa,27834.00,6695000,46.2,0.134876
Belgium,Europe,30518.00,10239000,77.8,24.387537
Benin,Africa,112622.00,6097000,50.2,0.386583
Burkina Faso,Africa,274000.00,11937000,46.7,0.203149
Bangladesh,Asia,143998.00,129155000,60.2,0.254361
Bulgaria,Europe,110994.00,8190900,70.9,1.486771
Bahrain,Asia,694.00,617000,73.0,10.317666
Bahamas,North America,13878.00,307000,71.1,11.488599
Bosnia and Herzegovina,Europe,51197.00,3972000,71.5,0.715256
Belarus,Europe,207600.00,10236000,68.0,1.339781
Belize,North America,22696.00,241000,70.9,2.614107
Bermuda,North America,53.00,65000,76.9,35.815384
Bolivia,South America,1098581.00,8329000,63.7,1.029055
Brazil,South America,8547403.00,170115000,62.9,4.565964
Barbados,North America,430.00,270000,73.0,8.233333
Brunei,Asia,5765.00,328000,73.6,35.685975
Bhutan,Asia,47000.00,2124000,52.4,0.175141
Botswana,Africa,581730.00,1622000,39.3,2.980271
Central African Republic,Africa,622984.00,3615000,44.0,0.291562
Canada,North America,9970610.00,31147000,79.4,19.226956
Switzerland,Europe,41284.00,7160400,79.6,36.936204
Chile,South America,756626.00,15211000,75.7,4.795805
China,Asia,9572900.00,1277558000,71.4,0.768863
Côte d’Ivoire,Africa,322463.00,14786000,45.2,0.767279
Cameroon,Africa,475442.00,15085000,54.8,0.608153
The Democratic Republic of the Congo,Africa,2344858.00,51654000,48.8,0.134820
Congo,Africa,342000.00,2943000,47.4,0.716275
Cook Islands,Oceania,236.00,20000,71.1,5.000000
Colombia,South America,1138914.00,42321000,70.3,2.431322
Comoros,Africa,1862.00,578000,60.0,7.614186
Cape Verde,Africa,4033.00,428000,68.9,1.016355
Costa Rica,North America,51100.00,4023000,75.8,2.541884
Cuba,North America,110861.00,11201000,76.2,1.592982
Cayman Islands,North America,264.00,38000,78.9,33.236842
Cyprus,Asia,9251.00,754700,76.7,12.366503
Czech Republic,Europe,78866.00,10278100,74.5,5.352837
Germany,Europe,357022.00,82164700,77.4,25.964520
Djibouti,Africa,23200.00,638000,50.8,0.598746
Dominica,North America,751.00,71000,73.4,3.605633
Denmark,Europe,43094.00,5330000,76.5,32.663977
Dominican Republic,North America,48511.00,8495000,73.2,1.865332
Algeria,Africa,2381741.00,31471000,69.7,1.588192
Ecuador,South America,283561.00,12646000,71.1,1.563340
Egypt,Africa,1001449.00,68470000,63.3,1.207974
Eritrea,Africa,117600.00,3850000,55.8,0.168831
Western Sahara,Africa,266000.00,293000,49.8,0.204778
Spain,Europe,505992.00,39441700,78.8,14.026601
Estonia,Europe,45227.00,1439200,69.5,3.702056
Ethiopia,Africa,1104300.00,62565000,45.2,0.101542
Finland,Europe,338145.00,5171300,77.4,23.575116
Fiji Islands,Oceania,18274.00,817000,67.9,1.880048
France,Europe,551500.00,59225700,78.8,24.048428
Federated States of Micronesia,Oceania,702.00,119000,68.6,1.781512
Gabon,Africa,267668.00,1226000,50.1,4.480424
